交易日期,证券代码,证券简称,类型,前收,开盘,最高,最低,今收,涨跌幅（%）,成交量(万股),成交金额(万元),市盈率
2023/5/4,000001,平安银行,深圳A股,12.55,12.4,12.83,12.19,12.73,1.43,"14,782.64","186,314.61",5.79
2023/5/4,000002,万  科Ａ,深圳A股,15.14,14.8,15.15,14.72,14.95,-1.25,"7,255.02","108,369.31",7.89
2023/5/4,000004,ST国华,深圳A股,10.5,11.03,11.03,10.94,11.03,5.05,571.65,"6,280.60",0
2023/5/4,000005,ST星源,深圳A股,1.75,1.66,1.7,1.66,1.69,-3.43,"1,634.37","2,744.07",0
2023/5/4,000006,深振业Ａ,深圳A股,4.84,4.78,4.87,4.74,4.85,0.21,"1,771.47","8,549.44",15.6
2023/5/4,000007,全新好,深圳A股,5.45,5.45,5.45,5.45,5.45,0,0,0,0
2023/5/4,000008,神州高铁,深圳A股,2.37,2.38,2.57,2.37,2.49,5.06,"8,451.64","21,033.73",0
2023/5/4,000009,中国宝安,深圳A股,10.67,10.59,10.74,10.5,10.54,-1.22,"1,693.83","17,959.93",23.51
2023/5/4,000010,美丽生态,深圳A股,2.57,2.55,2.62,2.52,2.61,1.56,"1,314.82","3,406.63",0
2023/5/4,000011,深物业A,深圳A股,9.67,9.6,9.86,9.56,9.85,1.86,373.98,"3,649.02",10.92
2023/5/4,000012,南  玻Ａ,深圳A股,6.57,6.54,6.58,6.51,6.53,-0.61,"2,550.31","16,673.35",9.84
2023/5/4,000014,沙河股份,深圳A股,9.71,9.98,10.37,9.81,10.14,4.43,"2,747.89","27,777.70",9.87
2023/5/4,000016,深康佳Ａ,深圳A股,4.74,4.78,4.88,4.77,4.82,1.69,"1,341.52","6,460.99",0
2023/5/4,000017,深中华A,深圳A股,4.26,4.25,4.37,4.25,4.35,2.11,446.43,"1,933.94",0
2023/5/4,000019,深粮控股,深圳A股,7.59,7.58,7.7,7.52,7.7,1.45,461.74,"3,535.02",21.1
2023/5/4,000020,深华发Ａ,深圳A股,9.71,9.69,9.93,9.62,9.82,1.13,171.97,"1,687.01",274.3
2023/5/4,000021,深科技,深圳A股,17.81,17.61,17.94,16.77,16.8,-5.67,"8,617.15","147,799.80",39.78
2023/5/4,000023,深天地Ａ,深圳A股,8.68,8.68,8.68,8.68,8.68,0,0,0,0
2023/5/4,000025,特  力Ａ,深圳A股,17.16,17.15,17.36,17,17.08,-0.47,295.8,"5,070.66",88.18
2023/5/4,000026,飞亚达,深圳A股,11.76,11.83,11.87,11.69,11.85,0.77,547.14,"6,450.18",18.56
2023/5/4,000027,深圳能源,深圳A股,6.42,6.42,6.58,6.42,6.54,1.87,"2,882.36","18,801.69",21.73
2023/5/4,000028,国药一致,深圳A股,65,63.01,68.31,61.55,64,-1.54,885.22,"57,105.13",18.43
2023/5/4,000029,深深房Ａ,深圳A股,10.85,10.84,11.06,10.69,10.76,-0.83,345.81,"3,761.61",70.84
2023/5/4,000030,富奥股份,深圳A股,4.66,4.65,4.77,4.63,4.72,1.29,"1,163.19","5,497.06",17.06
2023/5/4,000031,大悦城,深圳A股,3.66,3.72,3.84,3.7,3.83,4.64,"3,020.58","11,435.59",0
2023/5/4,000032,深桑达Ａ,深圳A股,31.6,31,31.36,29.37,30.8,-2.53,"3,080.30","93,315.96",0
2023/5/4,000034,神州数码,深圳A股,26.66,27.04,27.67,26.7,27.3,2.4,"2,444.85","66,499.77",18.18
2023/5/4,000035,中国天楹,深圳A股,4.63,4.64,4.76,4.63,4.74,2.38,"2,030.64","9,553.75",96.93
2023/5/4,000036,华联控股,深圳A股,4.24,4.17,4.21,4.09,4.09,-3.54,"2,488.16","10,291.79",13.93
2023/5/4,000037,深南电A,深圳A股,7.39,7.4,7.57,7.29,7.5,1.49,344.68,"2,583.95",0
2023/5/4,000038,*ST大通,深圳A股,3.43,3.43,3.43,3.43,3.43,0,0,0,0
2023/5/4,000039,中集集团,深圳A股,7.01,7,7.07,6.97,7.01,0,"1,459.45","10,255.76",11.54
2023/5/4,000040,东旭蓝天,深圳A股,4.15,4.11,4.26,4.11,4.24,2.17,"3,574.87","14,997.17",0
2023/5/4,000042,中洲控股,深圳A股,8.26,8.17,8.43,8.16,8.41,1.82,487.56,"4,074.08",70.2
2023/5/4,000045,深纺织Ａ,深圳A股,10.03,9.92,10.15,9.91,10.01,-0.2,432.99,"4,345.82",69.18
2023/5/4,000046,泛海控股,深圳A股,0.86,0.86,0.86,0.86,0.86,0,0,0,0
2023/5/4,000048,京基智农,深圳A股,22.5,23.81,23.95,21.4,21.9,-2.67,"1,253.20","27,766.85",14.82
2023/5/4,000049,德赛电池,深圳A股,36.94,36.7,37.15,35.38,35.84,-2.98,680.51,"24,546.87",12.39
2023/5/4,000050,深天马Ａ,深圳A股,9.86,9.2,9.3,8.87,8.87,-10.04,"3,759.26","33,721.89",193.67
2023/5/4,000055,方大集团,深圳A股,4.91,4.87,4.96,4.87,4.95,0.81,881.96,"4,350.49",18.79
2023/5/4,000056,皇庭国际,深圳A股,4.06,4.28,4.37,4.14,4.23,4.19,"8,370.43","35,555.10",0
2023/5/4,000058,深 赛 格,深圳A股,6.17,6.17,6.34,6.15,6.3,2.11,688.64,"4,321.91",492.19
2023/5/4,000059,华锦股份,深圳A股,6.99,6.94,7.07,6.88,7.02,0.43,"1,138.52","7,951.02",21.23
2023/5/4,000060,中金岭南,深圳A股,5.06,5.07,5.2,5.06,5.13,1.38,"4,703.35","24,132.88",15.81
2023/5/4,000061,农 产 品,深圳A股,6.44,6.42,6.66,6.36,6.64,3.11,"2,447.44","16,076.49",56.41
2023/5/4,000062,深圳华强,深圳A股,12.25,12.19,12.19,11.87,12,-2.04,718.83,"8,614.53",13.18
2023/5/4,000063,中兴通讯,深圳A股,35.62,35.5,35.5,33.3,33.63,-5.59,"12,626.81","426,005.99",19.71
2023/5/4,000065,北方国际,深圳A股,18.15,17.8,19.77,17.2,19.31,6.39,"9,301.01","170,790.68",30.41
2023/5/4,000066,中国长城,深圳A股,11.6,11.32,11.41,10.8,11.01,-5.09,"8,711.67","95,716.19",295.17
2023/5/4,000068,华控赛格,深圳A股,3.33,3.1,3.26,3.1,3.25,-2.4,"1,535.75","4,898.62",0
2023/5/4,000069,华侨城Ａ,深圳A股,5.01,4.85,4.9,4.8,4.86,-2.99,"6,474.97","31,322.76",0
2023/5/4,000070,特发信息,深圳A股,8.4,8.16,8.26,7.83,7.98,-5,"3,881.19","30,983.85",525
